,,N,-C,-C(hex),(-)4k+3,(-)4k+3(hex),(-)4k+1,(-)4k+1(hex),+E,+E(hex),+4k+3,+4k+3(hex),+4k+1,+4k+1(hex)
1,<<,31,-1,-0x1,,,-19,-0x13,+11,+0xb,,,+45,+0x2d
1,<<,32,-5,-0x5,,,-99,-0x63,+15,+0xf,,,+61,+0x3d
1,<<,33,-9,-0x9,,,-79,-0x4f,+17,+0x11,+35,+0x23,,
1,<<,34,-41,-0x29,,,-131,-0x83,+25,+0x19,+79,+0x4f,,
1,<<,35,-31,-0x1f,-49,-0x31,,,+53,+0x35,+83,+0x53,,
1,<<,36,-5,-0x5,,,-23,-0x17,+31,+0x1f,,,+117,+0x75
1,<<,37,-25,-0x19,,,-31,-0x1f,+9,+0x9,+95,+0x5f,,
1,<<,38,-45,-0x2d,,,-87,-0x57,+7,+0x7,,,+13,+0xd
1,<<,39,-7,-0x7,-165,-0xa5,,,+23,+0x17,,,+45,+0x2d
1,<<,40,-87,-0x57,-213,-0xd5,,,+15,+0xf,,,+97,+0x61
1,<<,41,-21,-0x15,,,-31,-0x1f,+27,+0x1b,,,+65,+0x41
1,<<,42,-11,-0xb,-17,-0x11,,,+15,+0xf,,,+129,+0x81
1,<<,43,-57,-0x39,,,-67,-0x43,+29,+0x1d,+39,+0x27,,
1,<<,44,-17,-0x11,,,-119,-0x77,+7,+0x7,,,+21,+0x15
1,<<,45,-55,-0x37,-69,-0x45,,,+59,+0x3b,,,+129,+0x81
1,<<,46,-21,-0x15,,,-63,-0x3f,+15,+0xf,,,+165,+0xa5
1,<<,47,-115,-0x73,-297,-0x129,,,+5,+0x5,+155,+0x9b,,
1,<<,48,-59,-0x3b,-65,-0x41,,,+21,+0x15,+75,+0x4b,,
1,<<,49,-81,-0x51,,,-111,-0x6f,+69,+0x45,+191,+0xbf,,
1,<<,50,-27,-0x1b,-113,-0x71,,,+55,+0x37,,,+145,+0x91
1,<<,51,-129,-0x81,,,-139,-0x8b,+21,+0x15,+191,+0xbf,,
1,<<,52,-47,-0x2f,-173,-0xad,,,+21,+0x15,+55,+0x37,,
1,<<,53,-111,-0x6f,-145,-0x91,,,+5,+0x5,+75,+0x4b,,
1,<<,54,-33,-0x21,,,-131,-0x83,+159,+0x9f,,,+345,+0x159
1,<<,55,-55,-0x37,-169,-0xa9,,,+3,+0x3,,,+105,+0x69
1,<<,56,-5,-0x5,,,-27,-0x1b,+81,+0x51,+175,+0xaf,,
1,<<,57,-13,-0xd,,,-111,-0x6f,+9,+0x9,+35,+0x23,,
1,<<,58,-27,-0x1b,-57,-0x39,,,+69,+0x45,+175,+0xaf,,
1,<<,59,-55,-0x37,-225,-0xe1,,,+131,+0x83,,,+161,+0xa1
1,<<,60,-93,-0x5d,,,-107,-0x6b,+33,+0x21,+91,+0x5b,,
1,<<,61,-1,-0x1,,,-31,-0x1f,+15,+0xf,,,+21,+0x15
1,<<,62,-57,-0x39,,,-87,-0x57,+135,+0x87,,,+169,+0xa9
1,<<,63,-25,-0x19,,,-259,-0x103,+29,+0x1d,+99,+0x63,,
1,<<,64,-59,-0x3b,-189,-0xbd,,,+13,+0xd,+51,+0x33,,
1,<<,65,-49,-0x31,,,-79,-0x4f,+131,+0x83,,,+165,+0xa5
1,<<,66,-5,-0x5,,,-203,-0xcb,+9,+0x9,+679,+0x2a7,,
1,<<,67,-19,-0x13,-49,-0x31,,,+3,+0x3,,,+153,+0x99
1,<<,68,-23,-0x17,-125,-0x7d,,,+33,+0x21,+163,+0xa3,,
1,<<,69,-19,-0x13,-93,-0x5d,,,+29,+0x1d,+239,+0xef,,
1,<<,70,-35,-0x23,-273,-0x111,,,+25,+0x19,+67,+0x43,,
1,<<,71,-231,-0xe7,-325,-0x145,,,+11,+0xb,,,+173,+0xad
1,<<,72,-93,-0x5d,,,-107,-0x6b,+15,+0xf,,,+105,+0x69
1,<<,73,-69,-0x45,,,-199,-0xc7,+29,+0x1d,+291,+0x123,,
1,<<,74,-35,-0x23,-45,-0x2d,,,+37,+0x25,+67,+0x43,,
1,<<,75,-97,-0x61,,,-207,-0xcf,+33,+0x21,+75,+0x4b,,
1,<<,76,-15,-0xf,-117,-0x75,,,+15,+0xf,,,+261,+0x105
1,<<,77,-33,-0x21,,,-43,-0x2b,+11,+0xb,,,+57,+0x39
1,<<,78,-11,-0xb,-153,-0x99,,,+7,+0x7,,,+109,+0x6d
1,<<,79,-67,-0x43,-249,-0xf9,,,+23,+0x17,,,+29,+0x1d
1,<<,80,-65,-0x41,,,-143,-0x8f,+13,+0xd,+235,+0xeb,,
1,<<,81,-51,-0x33,-205,-0xcd,,,+17,+0x11,+147,+0x93,,
1,<<,82,-57,-0x39,,,-315,-0x13b,+9,+0x9,+43,+0x2b,,
1,<<,83,-55,-0x37,-97,-0x61,,,+75,+0x4b,,,+89,+0x59
1,<<,84,-35,-0x23,-69,-0x45,,,+3,+0x3,,,+45,+0x2d
1,<<,85,-19,-0x13,-61,-0x3d,,,+171,+0xab,,,+237,+0xed
1,<<,86,-35,-0x23,-41,-0x29,,,+27,+0x1b,,,+69,+0x45
1,<<,87,-67,-0x43,-129,-0x81,,,+39,+0x27,,,+221,+0xdd
1,<<,88,-299,-0x12b,-605,-0x25d,,,+7,+0x7,,,+133,+0x85
1,<<,89,-1,-0x1,,,-31,-0x1f,+29,+0x1d,+107,+0x6b,,
1,<<,90,-33,-0x21,,,-75,-0x4b,+133,+0x85,+355,+0x163,,
1,<<,91,-45,-0x2d,,,-111,-0x6f,+59,+0x3b,,,+129,+0x81
1,<<,92,-83,-0x53,-149,-0x95,,,+25,+0x19,+223,+0xdf,,
1,<<,93,-25,-0x19,,,-51,-0x33,+105,+0x69,+215,+0xd7,,
1,<<,94,-3,-0x3,-105,-0x69,,,+129,+0x81,+147,+0x93,,
1,<<,95,-15,-0xf,-37,-0x25,,,+9,+0x9,+335,+0x14f,,
1,<<,96,-17,-0x11,,,-87,-0x57,+61,+0x3d,+151,+0x97,,
1,<<,97,-141,-0x8d,,,-399,-0x18f,+105,+0x69,+267,+0x10b,,
1,<<,98,-51,-0x33,-65,-0x41,,,+7,+0x7,,,+37,+0x25
1,<<,99,-115,-0x73,-145,-0x91,,,+255,+0xff,,,+509,+0x1fd
1,<<,100,-15,-0xf,-153,-0x99,,,+277,+0x115,+331,+0x14b,,
1,<<,101,-69,-0x45,,,-99,-0x63,+81,+0x51,+399,+0x18f,,
1,<<,102,-33,-0x21,,,-63,-0x3f,+267,+0x10b,,,+325,+0x145
1,<<,103,-97,-0x61,,,-127,-0x7f,+81,+0x51,+239,+0xef,,
